id,title,title_url,articles_with_corrections,total_articles,percentage_with_corrections
1826,Essendon and Flemington Chronicle (Vic. : 1882; 1884 - 1894),http://nla.gov.au/nla.news-title1826,103,17217,0.5982459197304989
1662,"The Southern Sentinel (Mount Barker, WA : 1934 - 1954)",http://nla.gov.au/nla.news-title1662,537,89469,0.6002078932367636
1627,Goomalling Gazette (WA : 1946 - 1954),http://nla.gov.au/nla.news-title1627,176,29221,0.602306560350433
1557,"Weekly Judge (Perth, WA : 1919 - 1931)",http://nla.gov.au/nla.news-title1557,233,38456,0.605887247763678
1600,"Deutsch-Australische Post : Wochenschrift = German-Australian Post : Weekly (Sydney, NSW : 1893 - 1906)",http://nla.gov.au/nla.news-title1600,88,14518,0.6061440969830555
1778,The Queanbeyan Age Canberra Advocate (NSW : 1927),http://nla.gov.au/nla.news-title1778,14,2288,0.6118881118881119
1534,Kondinin-Kulin Kourier and Karlgarin Advocate (WA : 1926 - 1941),http://nla.gov.au/nla.news-title1534,206,33117,0.6220370202614971
1837,Tungamah and Lake Rowan Express (Vic. : 1882 - 1883),http://nla.gov.au/nla.news-title1837,6,962,0.6237006237006237
1732,"The Challenger (Port Lincoln, SA. : 1932 - 1934)",http://nla.gov.au/nla.news-title1732,35,5599,0.6251116270762637
1838,Kyabram Free Press (Vic. : 1892 - 1894),http://nla.gov.au/nla.news-title1838,30,4780,0.6276150627615062
1658,"The Preston Mail and District Advocate (Collie, WA : 1932 - 1953)",http://nla.gov.au/nla.news-title1658,472,73745,0.6400433927723914
1607,The Boyup Brook Bulletin (WA : 1930 - 1950),http://nla.gov.au/nla.news-title1607,610,94381,0.6463165255718841
705,"Chinese Times (Melbourne, Vic. : 1902 - 1922)",http://nla.gov.au/nla.news-title705,357,55040,0.6486191860465116
1652,Northam Advertiser and Toodyay Times (WA : 1954),http://nla.gov.au/nla.news-title1652,17,2619,0.6491027109583811
1841,"Essendon Gazette (Moonee Ponds, Vic. : 1900 - 1905)",http://nla.gov.au/nla.news-title1841,73,11196,0.6520185780635942
